Id,Diagrama de clase,Readme,Numar de clase,Numar clase normale,Numar clase abstracte,Numar interfete,Numar mosteniri,Numar functii virtuale,Numar total de fisiere,Templateuri,liniiCod,Nota
1,1,1,30,22,10,0,22,35,152,0,731,8.55
10,0,0,7,5,1,0,11,2,41,0,298,6.16
11,0,0,1,0,0,0,0,0,11,0,0,1.0
12,1,1,13,7,5,0,5,30,31,0,351,5.2
13,0,1,20,15,4,0,11,16,81,0,381,6.9
14,1,1,14,13,0,0,0,0,62,0,1188,4.41
15,1,1,25,11,15,2,19,28,75,0,900,8.55
16,0,1,13,10,3,0,5,7,58,0,565,1.0
17,0,0,12,9,2,1,10,5,34,0,264,5.7
18,0,1,10,9,1,0,5,1,26,0,162,1.0
19,0,0,6,5,0,0,0,0,36,0,117,1.0
2,0,0,25,21,3,2,14,9,133,0,518,7.16
20,0,1,13,12,1,1,6,16,60,0,306,1.0
21,0,0,0,0,0,0,0,0,0,0,0,9.75
22,0,0,22,18,3,0,17,8,50,0,655,7.36
23,0,1,23,17,4,1,13,22,51,0,569,9.45
24,0,1,41,20,18,2,21,115,148,1,1000,10.0
25,0,1,7,5,1,0,6,8,22,0,360,5.7
26,0,1,19,14,4,0,8,8,109,0,323,6.92
27,0,0,12,9,2,0,6,3,27,0,202,5.01
28,1,0,14,11,2,0,5,3,33,0,332,4.95
29,0,0,10,8,1,0,8,6,23,0,523,7.9
3,1,0,36,32,3,2,22,12,112,1,1071,10.0
30,0,0,7,7,0,0,2,0,37,0,184,1.0
31,1,1,20,13,6,0,8,20,46,0,538,7.56
32,1,1,18,15,1,1,7,18,75,0,399,8.21
33,0,1,25,21,3,0,18,6,67,0,510,9.5
34,0,0,16,15,0,0,7,1,39,0,328,6.09
35,0,1,14,13,0,0,6,9,61,0,365,5.37
36,1,1,24,17,6,0,17,67,56,0,691,7.44
37,0,1,15,12,1,1,6,2,85,0,445,5.25
38,1,0,15,14,0,0,0,0,31,0,391,6.36
39,0,1,13,10,3,0,8,8,72,0,429,6.92
4,0,1,17,14,2,0,8,4,70,0,278,1.0
40,1,1,26,15,10,0,17,14,59,0,526,7.2
41,0,1,20,18,0,1,14,15,44,0,342,8.2
42,1,1,21,11,9,0,10,14,86,0,495,8.5
43,0,1,20,18,1,0,11,3,45,0,857,5.77
44,0,1,31,23,7,1,20,17,69,0,751,8.5
45,0,0,26,20,1,0,7,1,51,0,320,5.0
46,0,0,7,6,0,0,0,0,18,0,160,2.96
47,1,1,5,4,1,0,12,32,56,0,377,5.19
48,0,1,36,19,14,4,27,122,96,3,2709,1.0
49,0,0,17,8,7,0,12,15,52,0,432,8.9
5,0,0,12,7,4,0,4,28,29,0,243,5.4
50,0,0,20,16,3,0,5,30,75,0,450,1.0
57,0,0,22,17,1,3,10,13,80,0,443,7.27
58,0,1,28,18,7,2,11,10,63,0,616,6.33
59,1,1,20,21,0,0,10,1,49,0,416,5.43
6,0,1,25,13,10,1,10,123,55,0,905,9.0
60,0,0,19,16,2,0,11,6,77,0,429,6.0
61,1,1,19,16,1,1,10,2,45,0,352,1.0
62,0,1,30,14,15,6,24,71,72,0,1190,9.4
63,1,0,17,14,2,0,7,11,83,0,342,5.08
64,0,1,25,25,1,0,8,2,95,0,484,5.84
65,0,0,30,24,4,1,22,11,67,0,631,9.35
66,0,0,6,5,0,0,2,0,15,0,104,0.4
67,0,0,14,15,2,1,7,13,72,1,577,7.0
68,0,1,30,2,25,4,15,47,67,0,599,8.74
69,0,1,23,21,1,1,12,13,92,0,471,8.7
7,0,0,11,4,6,0,5,37,30,0,236,1.0
70,1,0,22,21,1,0,2,2,58,0,549,7.3
71,1,1,25,22,3,0,12,26,92,0,560,9.55
72,1,0,26,14,13,0,14,28,66,0,1810,9.6
73,1,1,17,14,0,2,13,3,36,0,354,1.0
8,0,1,17,14,0,2,6,2,45,0,353,5.8
9,0,0,7,6,0,0,3,0,35,0,144,4.8
